id_manga,Titulo,id_ano,Puntaje,URL,Portada,Volumen_inicio,Volumen_fin,Precio
93,Las Quintillizas (Go-Toubun no Hanayome),7,4.67,https://www.mangazenkan.com/items/10510975/,img/portadas/003_五等分の花嫁.jpg,1,14,10780.0
94,The Promised Neverland,7,4.58,https://www.mangazenkan.com/items/10416431/,img/portadas/004_約束のネバーランド.jpg,1,1,484.0
95,My Hero Academia (Boku no Hero Academia),7,4.63,https://www.mangazenkan.com/items/10221277/,img/portadas/005_僕のヒーローアカデミア.jpg,1,8,4136.0
96,Kaguya-sama: Love is War,7,4.67,https://www.mangazenkan.com/items/10341030/,img/portadas/006_かぐや様は告らせたい 天才たちの恋愛頭脳戦.jpg,1,4,2640.0
97,Demon Slayer (Kimetsu no Yaiba) – Set,7,5.0,https://www.mangazenkan.com/items/10775675/,img/portadas/007_鬼滅の刃セット.jpg,1,1,1689.0
98,One Punch Man,7,4.43,https://www.mangazenkan.com/items/10051811/,img/portadas/009_ワンパンマン.jpg,1,37,17908.0
99,Ataque de los Titanes,7,4.67,https://www.mangazenkan.com/items/40733/,img/portadas/010_進撃の巨人.jpg,1,2,1100.0
100,Dr. Stone,7,4.62,https://www.mangazenkan.com/items/10481171/,img/portadas/011_ドクターストーン DrSTONE.jpg,1,2,1540.0
101,One Piece,7,4.8,https://www.mangazenkan.com/items/169/,img/portadas/012_ワンピース ONE PIECE.jpg,1,1,484.0
102,Demon Slayer Fanbook: Kisatsutai Kenbunroku,7,4.25,https://www.mangazenkan.com/items/10724728/,img/portadas/013_鬼滅の刃 公式ファンブック鬼殺隊見聞録.jpg,1,23,11154.0
103,Haikyuu!!,7,4.85,https://www.mangazenkan.com/items/102246/,img/portadas/014_ハイキュー.jpg,1,13,11700.0
104,Fire Force (En'en no Shouboutai),7,4.78,https://www.mangazenkan.com/items/10331242/,img/portadas/015_炎炎ノ消防隊.jpg,1,34,20361.0
105,Golden Kamuy,7,4.64,https://www.mangazenkan.com/items/10236737/,img/portadas/016_ゴールデンカムイ.jpg,1,1,1100.0
106,Demon Slayer (Kimetsu no Yaiba),8,4.78,https://www.mangazenkan.com/items/10360560/,img/portadas/001_鬼滅の刃.jpg,1,1,484.0
107,Kingdom,8,4.92,https://www.mangazenkan.com/items/87/,img/portadas/002_キングダム.jpg,1,1,1045.0
108,Jujutsu Kaisen,8,4.82,https://www.mangazenkan.com/items/10713354/,img/portadas/003_呪術廻戦.jpg,1,2,1540.0
109,My Hero Academia (Boku no Hero Academia),8,4.63,https://www.mangazenkan.com/items/10221277/,img/portadas/004_僕のヒーローアカデミア.jpg,1,8,4136.0
110,Haikyuu!!,8,4.85,https://www.mangazenkan.com/items/102246/,img/portadas/005_ハイキュー.jpg,1,13,11700.0
111,Fire Force (En'en no Shouboutai),8,4.78,https://www.mangazenkan.com/items/10331242/,img/portadas/006_炎炎ノ消防隊.jpg,1,34,20361.0
112,The Promised Neverland,8,4.58,https://www.mangazenkan.com/items/10416431/,img/portadas/007_約束のネバーランド.jpg,1,1,484.0
113,Las Quintillizas (Go-Toubun no Hanayome),8,4.67,https://www.mangazenkan.com/items/10510975/,img/portadas/008_五等分の花嫁.jpg,1,14,10780.0
114,Dr. Stone,8,4.62,https://www.mangazenkan.com/items/10481171/,img/portadas/009_ドクターストーン DrSTONE.jpg,1,2,1540.0
115,Slam Dunk (Nueva edición recopilatoria),8,5.0,https://www.mangazenkan.com/items/10582804/,img/portadas/010_スラムダンク SLAM DUNK 新装再編版.jpg,1,1,1980.0
116,El Barco de Teseo (Theseus no Fune),8,3.5,https://www.mangazenkan.com/items/10503579/,img/portadas/011_テセウスの船.jpg,1,10,7260.0
117,Demon Slayer Fanbook: Kisatsutai Kenbunroku,8,4.25,https://www.mangazenkan.com/items/10724728/,img/portadas/012_鬼滅の刃 公式ファンブック鬼殺隊見聞録.jpg,1,23,11154.0
118,Slam Dunk,8,4.89,https://www.mangazenkan.com/items/167/,img/portadas/013_スラムダンクSLAMDUNK.jpg,1,1,1980.0
119,Ataque de los Titanes,8,4.67,https://www.mangazenkan.com/items/40733/,img/portadas/014_進撃の巨人.jpg,1,2,1100.0
120,"Rent-a-Girlfriend (Kanojo, Okarishimasu)",8,4.0,https://www.mangazenkan.com/items/10510971/,img/portadas/015_彼女お借りします.jpg,1,40,21692.0
121,Tokyo Revengers,9,4.89,https://www.mangazenkan.com/items/10461379/,img/portadas/001_東京卍リベンジャーズ.jpg,1,3,2893.0
122,Demon Slayer (Kimetsu no Yaiba),9,4.78,https://www.mangazenkan.com/items/10360560/,img/portadas/002_鬼滅の刃.jpg,1,1,484.0
123,Jujutsu Kaisen,9,4.82,https://www.mangazenkan.com/items/10713354/,img/portadas/003_呪術廻戦.jpg,1,2,1540.0
124,Ataque de los Titanes (Set con caja especial),9,4.5,https://www.mangazenkan.com/items/11047588/,img/portadas/004_進撃の巨人  オリジナル収納BOX付セット.jpg,1,34,20317.0
125,My Hero Academia (Boku no Hero Academia),9,4.63,https://www.mangazenkan.com/items/10221277/,img/portadas/005_僕のヒーローアカデミア.jpg,1,8,4136.0
126,Slam Dunk (Nueva edición recopilatoria),9,5.0,https://www.mangazenkan.com/items/10582804/,img/portadas/006_スラムダンク SLAM DUNK 新装再編版.jpg,1,1,1980.0
127,Cells at Work! (Hataraku Saibou),9,4.25,https://www.mangazenkan.com/items/10278788/,img/portadas/007_はたらく細胞.jpg,1,1,1045.0
128,No lo llames misterio (Mystery to Iu Nakare),9,4.5,https://www.mangazenkan.com/items/10540354/,img/portadas/008_ミステリと言う勿れ.jpg,1,15,8470.0
129,World Trigger,9,4.79,https://www.mangazenkan.com/items/10086768/,img/portadas/009_ワールドトリガー.jpg,1,1,968.0
130,The Fable (con caja de colección),9,5.0,https://www.mangazenkan.com/items/10876935/,img/portadas/010_ザファブル  南勝久先生描き下ろし第一部全巻収納BOX付.jpg,1,22,18392.0
131,That Time I Got Reincarnated as a Slime (con caja),9,0.0,https://www.mangazenkan.com/items/11024116/,img/portadas/011_転生したらスライムだった件  オリジナル収納BOX付セット.jpg,1,28,21043.0
132,Haikyuu!!,9,4.85,https://www.mangazenkan.com/items/102246/,img/portadas/012_ハイキュー.jpg,1,13,11700.0
133,Dr. Stone,9,4.62,https://www.mangazenkan.com/items/10481171/,img/portadas/013_ドクターストーン DrSTONE.jpg,1,2,1540.0
134,Chainsaw Man,9,4.58,https://www.mangazenkan.com/items/10679487/,img/portadas/014_チェンソーマン.jpg,1,20,10164.0
135,Slam Dunk,9,4.89,https://www.mangazenkan.com/items/167/,img/portadas/015_スラムダンクSLAMDUNK.jpg,1,1,1980.0
136,SPY×FAMILY,10,4.9,https://www.mangazenkan.com/items/10724727/,img/portadas/001_スパイファミリー SPYFAMILY.jpg,1,15,8228.0
137,Jujutsu Kaisen,10,4.82,https://www.mangazenkan.com/items/10713354/,img/portadas/002_呪術廻戦.jpg,1,2,1540.0
138,Tokyo Revengers,10,4.89,https://www.mangazenkan.com/items/10461379/,img/portadas/003_東京卍リベンジャーズ.jpg,1,3,2893.0
139,Slam Dunk (Nueva edición recopilatoria),10,5.0,https://www.mangazenkan.com/items/10582804/,img/portadas/004_スラムダンク SLAM DUNK 新装再編版.jpg,1,1,1980.0
140,Golden Kamuy,10,4.64,https://www.mangazenkan.com/items/10236737/,img/portadas/005_ゴールデンカムイ.jpg,1,1,1100.0
141,No lo llames misterio (Mystery to Iu Nakare),10,4.5,https://www.mangazenkan.com/items/10540354/,img/portadas/006_ミステリと言う勿れ.jpg,1,15,8470.0
142,Demon Slayer (Kimetsu no Yaiba),10,4.78,https://www.mangazenkan.com/items/10360560/,img/portadas/007_鬼滅の刃.jpg,1,1,484.0
143,Ao Ashi (con edición especial),10,4.6,https://www.mangazenkan.com/items/10261133/,img/portadas/008_特典ありアオアシ.jpg,1,39,30074.0
144,My Dress-Up Darling (con edición especial),10,5.0,https://www.mangazenkan.com/items/10642721/,img/portadas/009_特典ありその着せ替え人形は恋をする.jpg,1,14,10780.0
145,Haikyuu!!,10,4.85,https://www.mangazenkan.com/items/102246/,img/portadas/010_ハイキュー.jpg,1,13,11700.0
146,My Hero Academia (Boku no Hero Academia),10,4.63,https://www.mangazenkan.com/items/10221277/,img/portadas/011_僕のヒーローアカデミア.jpg,1,8,4136.0
147,The Fable (con caja de colección),10,5.0,https://www.mangazenkan.com/items/10876935/,img/portadas/012_ザファブル  南勝久先生描き下ろし第一部全巻収納BOX付.jpg,1,22,18392.0
148,Ataque de los Titanes (con caja especial),10,4.5,https://www.mangazenkan.com/items/11047588/,img/portadas/013_進撃の巨人  オリジナル収納BOX付セット.jpg,1,34,20317.0
149,One Piece,10,4.8,https://www.mangazenkan.com/items/169/,img/portadas/014_ワンピース ONE PIECE.jpg,1,1,484.0
150,Chainsaw Man,10,4.58,https://www.mangazenkan.com/items/10679487/,img/portadas/015_チェンソーマン.jpg,1,20,10164.0
151,Slam Dunk (Nueva edición recopilatoria),11,5.0,https://www.mangazenkan.com/items/10582804/,img/portadas/001_スラムダンク SLAM DUNK 新装再編版.jpg,1,1,1980.0
152,Blue Lock,11,5.0,https://www.mangazenkan.com/items/10639801/,img/portadas/002_ブルーロック.jpg,1,33,19206.0
153,Slam Dunk: 10 Días Después (After 10 Days),11,4.5,https://www.mangazenkan.com/items/4492/,img/portadas/003_スラムダンク あれから10日後.jpg,1,1,2096.0
154,Oshi no Ko,11,0.0,https://www.mangazenkan.com/items/10897866/,img/portadas/004_推しの子.jpg,1,16,11704.0
155,Jujutsu Kaisen,11,4.82,https://www.mangazenkan.com/items/10713354/,img/portadas/005_呪術廻戦.jpg,1,2,1540.0
156,Tokyo Revengers,11,4.75,https://www.mangazenkan.com/items/11522046/,img/portadas/006_東京卍リベンジャーズ.jpg,1,31,16038.0
157,Slam Dunk,11,4.89,https://www.mangazenkan.com/items/167/,img/portadas/007_スラムダンクSLAMDUNK.jpg,1,1,1980.0
158,Frieren: Más allá del viaje (edición especial),11,5.0,https://www.mangazenkan.com/items/11832892/,img/portadas/008_特典あり葬送のフリーレン.jpg,1,14,8371.0
159,Yamada-kun to Lv999 no Koi wo Suru (edición especial),11,5.0,https://www.mangazenkan.com/items/11592612/,img/portadas/009_特典あり山田くんとLv999の恋をする.jpg,1,10,7260.0
160,Bungou Stray Dogs (con caja original),11,0.0,https://www.mangazenkan.com/items/11512721/,img/portadas/010_文豪ストレイドッグス  オリジナル収納BOX付セット.jpg,1,26,19448.0
161,Slam Dunk Illustrations PLUS,11,0.0,https://www.mangazenkan.com/items/10771937/,img/portadas/011_スラムダンク PLUS  SLAM DUNK ILLUSTRATIONS.jpg,1,20,13255.0
162,Ataque de los Titanes (con caja especial),11,4.5,https://www.mangazenkan.com/items/11047588/,img/portadas/012_進撃の巨人  オリジナル収納BOX付セット.jpg,1,34,20317.0
163,No lo llames misterio (Mystery to Iu Nakare),11,4.5,https://www.mangazenkan.com/items/11727036/,img/portadas/013_ミステリと言う勿れ.jpg,1,2,1496.0
164,Bocchi the Rock! (ed. especial con posavasos),11,0.0,https://www.mangazenkan.com/items/11756777/,img/portadas/014_特典ありぼっちざろっく 有償特典アクリルコースター2種.jpg,1,7,6686.0
165,¡Bienvenido al aula demoníaca! (Mairimashita! Iruma-kun),11,5.0,https://www.mangazenkan.com/items/10875689/,img/portadas/015_魔入りました入間くん   西修先生描き下ろし収納BOX付.jpg,1,43,25410.0
166,Frieren: Más allá del viaje,12,4.0,https://www.mangazenkan.com/items/10911177/,img/portadas/001_葬送のフリーレン.jpg,1,14,8371.0
167,Haikyuu!!,12,4.85,https://www.mangazenkan.com/items/102246/,img/portadas/002_ハイキュー.jpg,1,13,11700.0
168,The Apothecary Diaries (Kusuriya no Hitorigoto),12,4.8,https://www.mangazenkan.com/items/10503388/,img/portadas/003_薬屋のひとりごと.jpg,1,15,11550.0
169,Slam Dunk (Nueva edición recopilatoria),12,5.0,https://www.mangazenkan.com/items/10582804/,img/portadas/004_スラムダンク SLAM DUNK 新装再編版.jpg,1,1,1980.0
170,The Apothecary Diaries (Kusuriya no Hitorigoto),12,0.0,https://www.mangazenkan.com/items/10208289/,img/portadas/005_薬屋のひとりごと.jpg,1,15,11550.0
171,El cuento de Genji (Asaki Yumemishi),12,4.0,https://www.mangazenkan.com/items/983/,img/portadas/006_あさきゆめみし.jpg,1,7,4895.0
172,Mashle,12,5.0,https://www.mangazenkan.com/items/10876959/,img/portadas/007_マッシュルMASHLE.jpg,1,18,8954.0
173,Cells at Work! (Hataraku Saibou),12,4.25,https://www.mangazenkan.com/items/10278788/,img/portadas/008_はたらく細胞.jpg,1,1,1045.0
174,Jujutsu Kaisen,12,4.82,https://www.mangazenkan.com/items/10713354/,img/portadas/009_呪術廻戦.jpg,1,2,1540.0
175,Kaiju No. 8,12,0.0,https://www.mangazenkan.com/items/10967404/,img/portadas/010_怪獣8号.jpg,1,15,8404.0
176,My Hero Academia (Boku no Hero Academia),12,4.63,https://www.mangazenkan.com/items/10221277/,img/portadas/011_僕のヒーローアカデミア.jpg,1,8,4136.0
177,La Caja Azul (Ao no Hako),12,0.0,https://www.mangazenkan.com/items/11107896/,img/portadas/012_アオのハコ.jpg,1,20,10472.0
178,Wind Breaker,12,0.0,https://www.mangazenkan.com/items/11046541/,img/portadas/013_ウィンドブレイカー WIND BREAKER.jpg,1,21,12474.0
179,¡Atrápalo! Rikadaman (Tsukame! Rika-daman),12,0.0,https://www.mangazenkan.com/items/11250797/,img/portadas/014_つかめ 理科ダマン.jpg,1,9,11700.0
180,Haikyuu!! 10th Chronicle,12,0.0,https://www.mangazenkan.com/items/11410753/,img/portadas/015_ハイキュー 10thクロニクル.jpg,1,45,21802.0
181,Kingdom,1,4.92,https://www.mangazenkan.com/items/10043626/,img/portadas/001_キングダム.jpg,1,1,564.0
182,Ataque de los Titanes,1,4.5,https://www.mangazenkan.com/items/10042854/,img/portadas/002_進撃の巨人.jpg,1,1,594.0
183,One Piece,1,4.8,https://www.mangazenkan.com/items/10043628/,img/portadas/003_ONE PIECE.jpg,1,1,459.0
184,Hunter × Hunter,1,4.68,https://www.mangazenkan.com/items/10051608/,img/portadas/004_HUNTERHUNTER.jpg,1,1,459.0
185,One Piece (Versión a color),1,4.8,https://www.mangazenkan.com/items/10043701/,img/portadas/005_ONE PIECE カラー版.jpg,1,1,518.0
186,GANTZ,1,3.67,https://www.mangazenkan.com/items/10054259/,img/portadas/006_GANTZ.jpg,1,1,617.0
