id_manga,id_autor,id_editorial,id_categoria,id_tipo,id_formato,Ranking
93,52,1,1,1,1,3
279,52,1,1,1,1,3
94,46,2,1,1,1,4
277,46,2,1,1,1,4
95,30,2,1,1,1,5
282,30,2,1,1,1,5
96,53,2,2,1,2,6
97,51,2,1,1,1,7
98,21,2,1,1,1,9
280,21,2,1,1,1,9
99,1,1,1,1,1,10
273,1,1,1,1,1,10
100,54,2,1,1,1,11
101,3,2,1,1,1,12
274,3,2,1,1,1,12
102,51,2,6,1,1,13
103,13,2,1,1,1,14
283,13,2,1,1,1,14
104,55,1,1,1,1,15
276,55,1,1,1,1,15
105,44,2,2,1,2,16
106,51,2,1,1,1,1
286,51,2,1,1,1,1
107,7,2,2,1,2,2
287,7,2,2,1,2,2
108,56,2,1,1,1,3
293,56,2,1,1,1,3
109,30,2,1,1,1,4
292,30,2,1,1,1,4
110,13,2,1,1,1,5
289,13,2,1,1,1,5
111,55,1,1,1,1,6
294,55,1,1,1,1,6
112,46,2,1,1,1,7
291,46,2,1,1,1,7
113,52,1,1,1,1,8
114,54,2,1,1,1,9
115,9,2,1,1,1,10
116,57,1,2,1,2,11
117,51,2,6,1,1,12
118,9,2,1,1,1,13
119,1,1,1,1,1,14
290,1,1,1,1,1,14
120,58,1,1,1,1,15
121,59,1,1,1,1,1
302,59,1,1,1,1,1
122,51,2,1,1,1,2
303,51,2,1,1,1,2
123,56,2,1,1,1,3
301,56,2,1,1,1,3
124,1,1,1,1,1,4
125,30,2,1,1,1,5
313,30,2,1,1,1,5
126,9,2,1,1,1,6
127,49,1,1,1,2,7
128,60,4,4,1,5,8
305,60,4,4,1,5,8
129,47,2,1,1,1,9
130,61,1,2,1,2,10
131,50,1,1,1,2,11
132,13,2,1,1,1,12
133,54,2,1,1,1,13
134,62,2,1,1,1,14
306,62,2,1,1,1,14
135,9,2,1,1,1,15
136,63,2,1,1,1,1
321,63,2,1,1,1,1
137,56,2,1,1,1,2
319,56,2,1,1,1,2
138,59,1,1,1,1,3
317,59,1,1,1,1,3
139,9,2,1,1,1,4
