Ranking,Titulo,Autor,Editorial,Precio,Volúmenes,URL,Portada,Año,Tipo,Categoría,Placa,Puntaje
5,ミステリと言う勿れ,田村由美,小学館,583,1巻,https://www.mangazenkan.com/items/10581042/,img/portadas/005_ミステリと言う勿れ.jpg,2021,Digital,"女性漫画, 漫画",,4.5
6,チェンソーマン,藤本タツキ,集英社,459,1巻,https://www.mangazenkan.com/items/10702082/,img/portadas/006_チェンソーマン.jpg,2021,Digital,"少年漫画, 漫画",,4.58
7,怪獣8号,松本直也,集英社,501,1巻,https://www.mangazenkan.com/items/11013317/,img/portadas/007_怪獣8号.jpg,2021,Digital,"少年漫画, 漫画",,
8,終末のワルキューレ,アジチカ,コアミックス,726,1巻,https://www.mangazenkan.com/items/10620202/,img/portadas/008_終末のワルキューレ.jpg,2021,Digital,"青年漫画, 漫画",,4.75
9,進撃の巨人,諫山創,講談社,594,1巻,https://www.mangazenkan.com/items/10042854/,img/portadas/009_進撃の巨人.jpg,2021,Digital,"少年漫画, 漫画",,4.5
10,SPY×FAMILY,遠藤達哉,集英社,501,1巻,https://www.mangazenkan.com/items/10761563/,img/portadas/010_SPYFAMILY.jpg,2021,Digital,"少年漫画, 漫画",,4.9
11,鬼滅の刃公式ファンブック 鬼殺隊見聞録,吾峠呼世晴,集英社,940,1巻,https://www.mangazenkan.com/items/10998950/,img/portadas/011_鬼滅の刃公式ファンブック 鬼殺隊見聞録.jpg,2021,Digital,"少年漫画, 漫画",,4.25
12,約束のネバーランド,白井カイウ,集英社,459,1巻,https://www.mangazenkan.com/items/10434302/,img/portadas/012_約束のネバーランド.jpg,2021,Digital,"少年漫画, 漫画",,4.58
13,僕のヒーローアカデミア,堀越耕平,集英社,459,1巻,https://www.mangazenkan.com/items/10234462/,img/portadas/013_僕のヒーローアカデミア.jpg,2021,Digital,"少年漫画, 漫画",,4.63
14,チ。―地球の運動について―,魚豊,小学館,759,1巻,https://www.mangazenkan.com/items/10986961/,img/portadas/014_チ地球の運動について.jpg,2021,Digital,"青年漫画, 漫画",,
15,転生したらスライムだった件,川上泰樹,講談社,792,1巻,https://www.mangazenkan.com/items/10357699/,img/portadas/015_転生したらスライムだった件.jpg,2021,Digital,"少年漫画, 漫画",,
1,ONE PIECE,尾田栄一郎,集英社,459,1巻,https://www.mangazenkan.com/items/10043628/,img/portadas/001_ONE PIECE.jpg,2022,Digital,"少年漫画, 漫画",,4.8
2,東京卍リベンジャーズ,和久井健,講談社,594,1巻,https://www.mangazenkan.com/items/10484627/,img/portadas/002_東京卍リベンジャーズ.jpg,2022,Digital,"少年漫画, 漫画",,4.75
3,キングダム,原泰久,集英社,564,1巻,https://www.mangazenkan.com/items/10043626/,img/portadas/003_キングダム.jpg,2022,Digital,"青年漫画, 漫画",,4.92
4,呪術廻戦,芥見下々,集英社,459,1巻,https://www.mangazenkan.com/items/10614996/,img/portadas/004_呪術廻戦.jpg,2022,Digital,"少年漫画, 漫画",,4.82
5,アオアシ,小林有吾,小学館,759,1巻,https://www.mangazenkan.com/items/10290942/,img/portadas/005_アオアシ.jpg,2022,Digital,"青年漫画, 漫画",,4.6
6,SPY×FAMILY,遠藤達哉,集英社,501,1巻,https://www.mangazenkan.com/items/10761563/,img/portadas/006_SPYFAMILY.jpg,2022,Digital,"少年漫画, 漫画",,4.9
7,僕のヒーローアカデミア,堀越耕平,集英社,459,1巻,https://www.mangazenkan.com/items/10234462/,img/portadas/007_僕のヒーローアカデミア.jpg,2022,Digital,"少年漫画, 漫画",,4.63
8,ゴールデンカムイ,野田サトル,集英社,564,1巻,https://www.mangazenkan.com/items/10251416/,img/portadas/008_ゴールデンカムイ.jpg,2022,Digital,"青年漫画, 漫画",,4.64
9,ブルーロック,金城宗幸,講談社,594,1巻,https://www.mangazenkan.com/items/10662217/,img/portadas/009_ブルーロック.jpg,2022,Digital,"少年漫画, 漫画",,5
